Player,Number,Position,Game,Goals,Shots,Assists,GBs,CTO,Draws,TOs,YC,GC
Kallie,13,M,CU-R,0,1,0,2,2,0,1,0,0
Katie,6,M,CU-R,0,0,0,1,1,0,2,0,0
Kenedee,14,M,CU-R,2,3,0,3,1,0,2,0,0
Kenna,25,A,CU-R,1,1,0,0,0,0,1,0,0
Kim,19,D,CU-R,0,0,0,1,0,0,0,0,0
Lauren,8,M,CU-R,0,1,0,0,0,0,0,0,0
Logan,20,M,CU-R,0,1,0,1,1,2,2,0,0
Maysen,22,M,CU-R,0,0,0,0,0,0,0,0,0
Natalie,1,M,CU-R,0,0,0,0,0,0,0,0,0
Rachel,26,A,CU-R,0,0,0,0,0,0,0,0,0
Raegan,24,A,CU-R,0,0,0,0,0,0,0,0,0
Roni,4,D,CU-R,0,0,0,0,0,0,0,0,0
Sarah,10,A,CU-R,0,0,0,0,0,0,0,0,0
Shannon,23,A,CU-R,0,1,0,0,1,0,2,1,0
Taylor,2,D,CU-R,0,0,0,3,3,0,0,0,0
Tess,3,M,CU-R,6,9,0,7,2,4,0,0,0
Becca,15,M,Texas-N,1,0,1,0,1,0,0,0,0
Brooklyn,5,A,Texas-N,0,0,0,0,0,0,0,0,0
Devinne,11,D,Texas-N,0,0,0,4,1,0,0,0,0
Haley,9,A,Texas-N,1,1,0,0,0,0,1,0,0
Heather,12,M,Texas-N,4,7,1,2,3,3,1,0,0
Julia,27,D,Texas-N,0,0,0,1,2,0,1,0,0
Kallie,13,M,Texas-N,2,4,0,1,0,1,0,0,0
Katie,6,M,Texas-N,0,0,0,0,0,0,0,0,0
Kenedee,14,M,Texas-N,0,1,5,1,2,1,1,0,0
Kenna,25,A,Texas-N,1,1,0,0,0,0,2,0,0
Kim,19,D,Texas-N,0,0,0,0,1,0,0,0,0
Lauren,8,M,Texas-N,0,0,1,1,0,0,0,0,0
Logan,20,M,Texas-N,1,5,0,3,0,2,1,0,0
Maysen,22,M,Texas-N,0,2,0,0,0,1,0,0,0
Natalie,1,M,Texas-N,0,0,0,1,0,0,1,0,0
Rachel,26,A,Texas-N,0,0,0,0,0,0,0,0,0
Raegan,24,A,Texas-N,0,0,0,0,0,0,0,1,0
Roni,4,D,Texas-N,0,0,0,0,2,0,0,0,0
